date,time,site,ipa,station,observer,tide,water_level,secchi_m,depth_m,species,tax_group,org_type,length_mm,fish_notes,transect_notes
2019-06-18T00:00:00Z,1899-12-30T10:05:00Z,COR,Restored,1,NA,Ebb,0.9,NA,6,Pipefish,Sygnathid,Fish,220,NA,
2019-06-18T00:00:00Z,1899-12-30T10:24:00Z,COR,Restored,0,NA,Ebb,0.2,NA,4,Striped Perch,Perch,Fish,220,NA,
2018-06-13T00:00:00Z,1899-12-30T10:45:00Z,COR,Restored,1,GS,Flood,NA,NA,1.180327868852459,Staghorn Sculpin,Cottidae,Fish,217,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Snake Prickleback,Stichaeid,Fish,211,NA,
2019-06-18T00:00:00Z,1899-12-30T10:05:00Z,COR,Restored,1,NA,Ebb,0.9,NA,6,Snake Prickleback,Stichaeid,Fish,210,NA,
2019-06-18T00:00:00Z,1899-12-30T11:05:00Z,COR,Natural,0,NA,Ebb,-0.5,NA,3,Striped Perch,Perch,Fish,210,NA,
2019-05-21T00:00:00Z,1899-12-30T12:00:00Z,COR,Restored,0,NA,Ebb,-0.3,NA,4,Pipefish,Sygnathid,Fish,208,NA,
2018-07-12T00:00:00Z,1899-12-30T15:00:00Z,COR,Natural,1,TBF,NA,NA,NA,NA,Herring,Forage Fish,Fish,205,NA,
2018-06-13T00:00:00Z,1899-12-30T10:45:00Z,COR,Restored,1,GS,Flood,NA,NA,1.180327868852459,Staghorn Sculpin,Cottidae,Fish,200,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Herring,Forage Fish,Fish,197,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Staghorn Sculpin,Cottidae,Fish,196,NA,
2018-08-01T00:00:00Z,1899-12-30T12:58:00Z,SHR,Restored,0,TBF,NA,NA,NA,NA,Chinook,Salmon,Fish,195,NA,
2019-04-29T00:00:00Z,1899-12-30T11:45:00Z,COR,Armored,0,NA,Flood,5.2,NA,6,Snake Prickleback,Stichaeid,Fish,195,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Snake Prickleback,Stichaeid,Fish,195,NA,
2019-07-15T00:00:00Z,1899-12-30T10:35:00Z,FAM,Natural,1,NA,Low,-1.6,NA,12,Pipefish,Sygnathid,Fish,193,NA,
2019-08-13T00:00:00Z,1899-12-30T09:17:00Z,COR,Natural,1,NA,NA,NA,NA,3,Starry Flounder,Flatfish,Fish,191,NA,
2019-06-18T00:00:00Z,1899-12-30T11:05:00Z,COR,Natural,0,NA,Ebb,-0.5,NA,3,Pile Perch,Perch,Fish,190,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Starry Flounder,Flatfish,Fish,190,NA,
2018-08-29T00:00:00Z,1899-12-30T10:46:00Z,COR,Natural,0,"JS, GS",NA,NA,NA,NA,Shiner Perch,Perch,Fish,185,NA,
2018-06-19T00:00:00Z,1899-12-30T12:32:00Z,DOK,Armored,0,TBF,Ebb,NA,NA,3.0491803278688523,Tube Snout,Aulorhynchus,Fish,182,NA,
2018-06-13T00:00:00Z,1899-12-30T10:45:00Z,COR,Restored,1,GS,Flood,NA,NA,1.180327868852459,Dungeness Crab,Decapod,Benthic invertebrate,180,Female,
2018-06-13T00:00:00Z,1899-12-30T11:23:00Z,COR,Natural,1,GS,Flood,NA,NA,0.8852459016393442,Striped Perch,Perch,Fish,180,NA,
2019-06-19T00:00:00Z,1899-12-30T09:45:00Z,TUR,Natural,0,NA,Ebb,0.6,NA,6,Striped Perch,Perch,Fish,180,NA,
2019-04-29T00:00:00Z,1899-12-30T10:57:00Z,COR,Natural,0,NA,Flood,4.7,NA,7,Herring,Forage Fish,Fish,178,NA,
2019-05-21T00:00:00Z,1899-12-30T12:00:00Z,COR,Restored,0,NA,Ebb,-0.3,NA,4,Snake Prickleback,Stichaeid,Fish,176,NA,
2019-07-15T00:00:00Z,1899-12-30T10:35:00Z,FAM,Natural,1,NA,Low,-1.6,NA,12,Pipefish,Sygnathid,Fish,176,NA,
2019-05-21T00:00:00Z,1899-12-30T12:00:00Z,COR,Restored,0,NA,Ebb,-0.3,NA,4,Herring,Forage Fish,Fish,175,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,175,NA,
2019-06-18T00:00:00Z,1899-12-30T11:05:00Z,COR,Natural,0,NA,Ebb,-0.5,NA,3,Cutthroat,Salmon,Fish,173,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,173,NA,
2019-07-16T00:00:00Z,1899-12-30T13:45:00Z,COR,Armored,0,NA,Flood,0,NA,7,Surf Smelt,Forage Fish,Fish,172,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Surf Smelt,Forage Fish,Fish,170,NA,
2019-06-18T00:00:00Z,1899-12-30T11:05:00Z,COR,Natural,0,NA,Ebb,-0.5,NA,3,Pile Perch,Perch,Fish,170,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,170,NA,
2019-08-13T00:00:00Z,1899-12-30T09:58:00Z,COR,Restored,1,NA,NA,NA,NA,4,Pipefish,Sygnathid,Fish,170,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,169,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,169,NA,
2019-07-31T00:00:00Z,1899-12-30T11:34:00Z,EDG,Restored,1,NA,Ebb,-3.1,NA,19,Surf Smelt,Forage Fish,Fish,168,NA,
2019-06-18T00:00:00Z,1899-12-30T10:05:00Z,COR,Restored,1,NA,Ebb,0.9,NA,6,Pipefish,Sygnathid,Fish,167,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,167,NA,
2019-05-21T00:00:00Z,1899-12-30T12:00:00Z,COR,Restored,0,NA,Ebb,-0.3,NA,4,Pipefish,Sygnathid,Fish,165,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,165,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Snake Prickleback,Stichaeid,Fish,165,NA,
2019-06-20T00:00:00Z,1899-12-30T11:51:00Z,DOK,Restored,0,NA,Ebb,0.1,NA,6.4,Pipefish,Sygnathid,Fish,164,NA,
2019-06-20T00:00:00Z,1899-12-30T15:25:00Z,SHR,Armored,2,NA,Flood,0.4,NA,50,Coho,Salmon,Fish,164,hatchery,
2019-06-20T00:00:00Z,1899-12-30T15:25:00Z,SHR,Armored,2,NA,Flood,0.4,NA,50,Coho,Salmon,Fish,163,hatchery,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,162,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,161,NA,
2019-06-20T00:00:00Z,1899-12-30T15:25:00Z,SHR,Armored,2,NA,Flood,0.4,NA,50,Coho,Salmon,Fish,160,hatchery,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Herring,Forage Fish,Fish,160,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,160,NA,
2019-07-31T00:00:00Z,1899-12-30T11:34:00Z,EDG,Restored,1,NA,Ebb,-3.1,NA,19,Surf Smelt,Forage Fish,Fish,160,NA,
2019-08-13T00:00:00Z,1899-12-30T09:58:00Z,COR,Restored,1,NA,NA,NA,NA,4,Penpoint Gunnel,Pholidae,Fish,160,NA,
2019-09-06T00:00:00Z,1899-12-30T08:15:00Z,COR,Restored,0,NA,NA,NA,NA,4,Snake Prickleback,Stichaeid,Fish,160,NA,
2019-09-06T00:00:00Z,1899-12-30T08:03:00Z,COR,Restored,1,NA,NA,NA,NA,8.6,Striped Perch,Perch,Fish,159,NA,
2019-05-21T00:00:00Z,1899-12-30T12:00:00Z,COR,Restored,0,NA,Ebb,-0.3,NA,4,Pipefish,Sygnathid,Fish,158,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Saddleback Gunnel,Pholidae,Fish,158,NA,
2019-07-16T00:00:00Z,1899-12-30T13:45:00Z,COR,Armored,0,NA,Flood,0,NA,7,Surf Smelt,Forage Fish,Fish,158,NA,
2019-05-21T00:00:00Z,1899-12-30T12:41:00Z,COR,Armored,2,NA,Ebb,-1.4,NA,22,Pipefish,Sygnathid,Fish,157,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Surf Smelt,Forage Fish,Fish,156,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Surf Smelt,Forage Fish,Fish,156,NA,
2018-07-18T00:00:00Z,1899-12-30T10:07:00Z,EDG,Restored,1,GW,slack,NA,NA,NA,Chum,Salmon,Fish,155,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Surf Smelt,Forage Fish,Fish,155,NA,
2019-07-09T00:00:00Z,1899-12-30T11:55:00Z,DOK,Armored,2,NA,Ebb,6.9,NA,30,Chinook,Salmon,Fish,155,(155W?),
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,155,NA,
2018-07-12T00:00:00Z,1899-12-30T15:00:00Z,COR,Natural,1,TBF,NA,NA,NA,NA,Herring,Forage Fish,Fish,154,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Surf Smelt,Forage Fish,Fish,153,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Surf Smelt,Forage Fish,Fish,153,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,153,NA,
2018-06-13T00:00:00Z,1899-12-30T10:45:00Z,COR,Restored,1,GS,Flood,NA,NA,1.180327868852459,Snake Prickleback,Stichaeid,Fish,152,NA,
2019-06-20T00:00:00Z,1899-12-30T15:25:00Z,SHR,Armored,2,NA,Flood,0.4,NA,50,Coho,Salmon,Fish,152,hatchery,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,152,NA,
2018-06-14T00:00:00Z,1899-12-30T12:10:00Z,EDG,Restored,0,GS,Flood,NA,NA,1.180327868852459,Dungeness Crab,Decapod,Benthic invertebrate,150,M,
2018-06-11T00:00:00Z,1899-12-30T12:00:00Z,SHR,Armored,0,GS,Flood,NA,NA,2.0655737704918034,Saddleback Gunnel,Pholidae,Fish,150,NA,
2018-06-12T00:00:00Z,1899-12-30T13:24:00Z,FAM,Natural,0,GS,Flood,NA,NA,2.5799999999999996,Snake Prickleback,Stichaeid,Fish,150,NA,
2018-07-18T00:00:00Z,1899-12-30T10:07:00Z,EDG,Restored,1,GW,slack,NA,NA,NA,Chum,Salmon,Fish,150,NA,
2019-04-30T00:00:00Z,1899-12-30T12:26:00Z,TUR,Armored,1,NA,Flood,3.9,NA,30,Tube Snout,Aulorhynchus,Fish,150,NA,
2019-05-20T00:00:00Z,1899-12-30T10:50:00Z,SHR,Armored,0,NA,Ebb,-0.3,6.8,7,Tube Snout,Aulorhynchus,Fish,150,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,150,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,150,NA,
2019-05-21T00:00:00Z,1899-12-30T11:42:00Z,COR,Restored,1,NA,Ebb,1.3,NA,4,Snake Prickleback,Stichaeid,Fish,150,NA,
2019-06-18T00:00:00Z,1899-12-30T10:24:00Z,COR,Restored,0,NA,Ebb,0.2,NA,4,Pipefish,Sygnathid,Fish,150,NA,
2019-06-18T00:00:00Z,1899-12-30T14:30:00Z,FAM,Restored,0,NA,Flood,-0.5,NA,9,Snake Prickleback,Stichaeid,Fish,150,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Chinook,Salmon,Fish,150,Hatchery,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Herring,Forage Fish,Fish,150,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,150,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,150,NA,
2019-08-13T00:00:00Z,1899-12-30T09:49:00Z,COR,Natural,2,NA,NA,NA,NA,19.9,Chinook,Salmon,Fish,150,NA,
2018-07-12T00:00:00Z,1899-12-30T16:20:00Z,COR,Restored,1,TBF,NA,NA,NA,NA,Herring,Forage Fish,Fish,148,Hatchery,
2018-07-12T00:00:00Z,1899-12-30T16:20:00Z,COR,Restored,1,TBF,NA,NA,NA,NA,Surf Smelt,Forage Fish,Fish,148,NA,
2019-05-20T00:00:00Z,1899-12-30T10:50:00Z,SHR,Armored,0,NA,Ebb,-0.3,6.8,7,Tube Snout,Aulorhynchus,Fish,148,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Pile Perch,Perch,Fish,148,NA,
2018-06-14T00:00:00Z,1899-12-30T13:51:00Z,EDG,Armored,0,GS,Flood,NA,NA,3,Tube Snout,Aulorhynchus,Fish,146,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Surf Smelt,Forage Fish,Fish,146,NA,
2018-06-11T00:00:00Z,1899-12-30T12:00:00Z,SHR,Armored,0,GS,Flood,NA,NA,2.0655737704918034,Sand Sole,Flatfish,Fish,145,NA,
2018-06-11T00:00:00Z,1899-12-30T12:00:00Z,SHR,Armored,0,GS,Flood,NA,NA,2.0655737704918034,Sand Sole,Flatfish,Fish,145,NA,
2018-06-14T00:00:00Z,1899-12-30T12:10:00Z,EDG,Restored,0,GS,Flood,NA,NA,1.180327868852459,Tube Snout,Aulorhynchus,Fish,145,NA,
2019-04-19T00:00:00Z,1899-12-30T10:00:00Z,DOK,Armored,1,NA,Ebb,2.4,NA,20,Surf Smelt,Forage Fish,Fish,145,NA,
2019-05-20T00:00:00Z,1899-12-30T11:32:00Z,SHR,Natural,0,NA,Ebb,-1.5,6.5,5,Tube Snout,Aulorhynchus,Fish,145,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,145,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Chinook,Salmon,Fish,145,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Herring,Forage Fish,Fish,145,NA,
2019-06-20T00:00:00Z,1899-12-30T15:25:00Z,SHR,Armored,2,NA,Flood,0.4,NA,50,Coho,Salmon,Fish,145,hatchery,
2019-09-30T00:00:00Z,1899-12-30T13:29:00Z,SHR,Restored,1,NA,NA,NA,NA,14,Tube Snout,Sygnathid,Fish,145,NA,
2019-04-29T00:00:00Z,1899-12-30T10:57:00Z,COR,Natural,0,NA,Flood,4.7,NA,7,Herring,Forage Fish,Fish,144,NA,
2019-04-29T00:00:00Z,1899-12-30T10:57:00Z,COR,Natural,0,NA,Flood,4.7,NA,7,Surf Smelt,Forage Fish,Fish,144,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Surf Smelt,Forage Fish,Fish,144,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Shiner Perch,Perch,Fish,144,NA,
2018-07-18T00:00:00Z,1899-12-30T11:40:00Z,EDG,Natural,0,NA,NA,NA,NA,NA,Chum,Salmon,Fish,143,NA,
2019-04-29T00:00:00Z,1899-12-30T10:57:00Z,COR,Natural,0,NA,Flood,4.7,NA,7,Herring,Forage Fish,Fish,143,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,143,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Surf Smelt,Forage Fish,Fish,143,NA,
2019-05-22T00:00:00Z,1899-12-30T15:36:00Z,FAM,Armored,0,NA,Flood,-0.5,NA,6,Surf Smelt,Forage Fish,Fish,143,NA,
2019-06-20T00:00:00Z,1899-12-30T15:25:00Z,SHR,Armored,2,NA,Flood,0.4,NA,50,Coho,Salmon,Fish,143,hatchery,
2019-06-20T00:00:00Z,1899-12-30T16:05:00Z,SHR,Natural,0,NA,Flood,2.1,NA,8,Tube Snout,Sygnathid,Fish,143,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Snake Prickleback,Stichaeid,Fish,143,NA,
2019-04-29T00:00:00Z,1899-12-30T10:57:00Z,COR,Natural,0,NA,Flood,4.7,NA,7,Herring,Forage Fish,Fish,142,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,142,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,142,NA,
2019-09-30T00:00:00Z,1899-12-30T13:29:00Z,SHR,Restored,1,NA,NA,NA,NA,14,Tube Snout,Sygnathid,Fish,142,NA,
2018-07-12T00:00:00Z,1899-12-30T15:00:00Z,COR,Natural,1,TBF,NA,NA,NA,NA,Herring,Forage Fish,Fish,141,NA,
2019-06-20T00:00:00Z,1899-12-30T11:51:00Z,DOK,Restored,0,NA,Ebb,0.1,NA,6.4,Pipefish,Sygnathid,Fish,141,NA,
2019-08-14T00:00:00Z,1899-12-30T15:12:00Z,TUR,Restored,0,NA,NA,NA,NA,5,White Spotted Greenling,Hexagrammidae,Fish,141,NA,
2018-07-12T00:00:00Z,1899-12-30T11:11:00Z,TUR,Armored,2,GS,NA,NA,NA,6.6,Chum,Salmon,Fish,140,NA,
2018-08-23T00:00:00Z,1899-12-30T11:00:00Z,TUR,Armored,0,"GS, GL",NA,NA,NA,NA,Striped Perch,Perch,Fish,140,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,140,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,140,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Chinook,Salmon,Fish,140,NA,
2019-05-21T00:00:00Z,1899-12-30T11:00:00Z,COR,Natural,1,NA,Ebb,1.9,NA,5,Herring,Forage Fish,Fish,140,NA,
2019-05-21T00:00:00Z,1899-12-30T12:00:00Z,COR,Restored,0,NA,Ebb,-0.3,NA,4,Pipefish,Sygnathid,Fish,140,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Chinook,Salmon,Fish,140,NA,
2019-07-16T00:00:00Z,1899-12-30T11:59:00Z,COR,Natural,1,NA,Flood,-1.7,NA,6.6,Herring,Forage Fish,Fish,140,NA,
2019-09-06T00:00:00Z,1899-12-30T08:28:00Z,COR,Natural,1,NA,NA,NA,NA,4.5,Surf Smelt,Forage Fish,Fish,140,NA,
2018-07-18T00:00:00Z,1899-12-30T11:40:00Z,EDG,Natural,0,NA,NA,NA,NA,NA,Chum,Salmon,Fish,139,NA,
2019-05-21T00:00:00Z,1899-12-30T12:00:00Z,COR,Restored,0,NA,Ebb,-0.3,NA,4,Pipefish,Sygnathid,Fish,139,NA,
2019-06-20T00:00:00Z,1899-12-30T15:51:00Z,SHR,Natural,2,NA,Flood,1.2,NA,51,Coho,Salmon,Fish,139,NA,
2018-07-18T00:00:00Z,1899-12-30T11:40:00Z,EDG,Natural,0,NA,NA,NA,NA,NA,Chinook,Salmon,Fish,138,hatchery,
2018-09-06T00:00:00Z,1899-12-30T09:42:00Z,DOK,Armored,1,"GS, TF",NA,NA,NA,NA,Chinook,Salmon,Fish,138,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,138,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,138,NA,
2019-06-20T00:00:00Z,1899-12-30T16:05:00Z,SHR,Natural,0,NA,Flood,2.1,NA,8,Tube Snout,Sygnathid,Fish,138,NA,
2019-07-16T00:00:00Z,1899-12-30T13:57:00Z,COR,Natural,0,NA,Flood,0.7,NA,4,Crescent Gunnel,Pholidae,Fish,138,NA,
2019-09-06T00:00:00Z,1899-12-30T08:28:00Z,COR,Natural,1,NA,NA,NA,NA,4.5,Surf Smelt,Forage Fish,Fish,138,NA,
2018-07-18T00:00:00Z,1899-12-30T11:40:00Z,EDG,Natural,0,NA,NA,NA,NA,NA,Chum,Salmon,Fish,137,NA,
2018-09-06T00:00:00Z,1899-12-30T10:20:00Z,DOK,Restored,0,"GS, TF",NA,NA,NA,NA,Speckled Sand Dab,Flatfish,Fish,137,NA,
2019-05-21T00:00:00Z,1899-12-30T12:00:00Z,COR,Restored,0,NA,Ebb,-0.3,NA,4,Surf Smelt,Forage Fish,Fish,137,NA,
2018-06-14T00:00:00Z,1899-12-30T12:10:00Z,EDG,Restored,0,GS,Flood,NA,NA,1.180327868852459,Tube Snout,Aulorhynchus,Fish,136,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,136,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,136,NA,
2018-07-12T00:00:00Z,1899-12-30T15:00:00Z,COR,Natural,1,TBF,NA,NA,NA,NA,Surf Smelt,Forage Fish,Fish,135,NA,
2018-07-18T00:00:00Z,1899-12-30T11:40:00Z,EDG,Natural,0,NA,NA,NA,NA,NA,Chum,Salmon,Fish,135,NA,
2018-08-29T00:00:00Z,1899-12-30T10:56:00Z,COR,Restored,2,"JS, GS",NA,NA,NA,NA,Chinook,Salmon,Fish,135,hatchery,
2018-08-29T00:00:00Z,1899-12-30T11:02:00Z,COR,Restored,1,"JS, GS",NA,NA,NA,NA,Shiner Perch,Perch,Fish,135,NA,
2019-05-20T00:00:00Z,1899-12-30T10:50:00Z,SHR,Armored,0,NA,Ebb,-0.3,6.8,7,Tube Snout,Aulorhynchus,Fish,135,NA,
2019-05-20T00:00:00Z,1899-12-30T10:50:00Z,SHR,Armored,0,NA,Ebb,-0.3,6.8,7,Saddleback Gunnel,Pholidae,Fish,135,NA,
2019-05-20T00:00:00Z,1899-12-30T12:15:00Z,SHR,Restored,0,NA,Ebb,-2.2,NA,3,Tube Snout,Aulorhynchus,Fish,135,NA,
